127.0.0.1 - - [06/Apr/2021:15:25:10 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:16 +0530] "GET /ORS_0/ HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:18 +0530] "GET /ORS_0/resources/img/logo.jpg;jsessionid=6ADD2FBF943ED41883DFFBCE795B6B15 HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:19 +0530] "GET /ORS_0/resources/img/background.jpg HTTP/1.1" 200 283116
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:25 +0530] "GET /ORS_0/Welcome;jsessionid=6ADD2FBF943ED41883DFFBCE795B6B15 HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:26 +0530] "GET /ORS_0/resources/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:27 +0530] "GET /ORS_0/resources/img/logo.jpg HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:43 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:25:49 +0530] "GET /ORS_0/Welcome?lang=hi HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:26:15 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9473
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:26:23 +0530] "GET /ORS_0/Registration HTTP/1.1" 200 12672
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:29:02 +0530] "POST /ORS_0/Registration HTTP/1.1" 500 4843
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:33:23 +0530] "GET /ORS_0/ HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:33:36 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:33:40 +0530] "GET /ORS_0/Welcome?lang=en HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:33:45 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:33:53 +0530] "GET /ORS_0/Registration HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:34:53 +0530] "POST /ORS_0/Registration HTTP/1.1" 500 4843
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:36:01 +0530] "POST /ORS_0/Registration HTTP/1.1" 500 4843
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:36:02 +0530] "GET /ORS_0/Registration HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:38:00 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:38:22 +0530] "POST /ORS_0/Login HTTP/1.1" 500 16396
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:05 +0530] "GET /ORS_0/ HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:05 +0530] "GET /ORS_0/resources/img/logo.jpg;jsessionid=562361BCE6C2CE6E0615E6061C88C978 HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:09 +0530] "GET /ORS_0/Welcome;jsessionid=562361BCE6C2CE6E0615E6061C88C978 HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:15 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:40 +0530] "POST /ORS_0/Login HTTP/1.1" 500 16397
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:39:43 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:40:13 +0530] "POST /ORS_0/Login HTTP/1.1" 500 16397
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:22 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:24 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:26 +0530] "GET /ORS_0/resources/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:28 +0530] "GET /ORS_0/resources/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:28 +0530] "GET /ORS_0/resources/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:41:51 +0530] "POST /ORS_0/Login HTTP/1.1" 500 16397
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:44:29 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:44:39 +0530] "POST /ORS_0/Login HTTP/1.1" 500 11484
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:45:41 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:45:44 +0530] "POST /ORS_0/Login HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:45:50 +0530] "POST /ORS_0/Login HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:46:03 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:46:04 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:46:07 +0530] "GET /ORS_0/Welcome?lang=en HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:14 +0530] "GET /ORS_0/Welcome?lang=en HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:16 +0530] "GET /ORS_0/resources/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:17 +0530] "GET /ORS_0/resources/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:17 +0530] "GET /ORS_0/resources/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:22 +0530] "GET /ORS_0/Welcome?lang=hi HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:49:33 +0530] "GET /ORS_0/Welcome?lang=en HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:50:18 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 18584
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:08 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:09 +0530] "GET /ORS_0/resources/js/Checkbox11.js;jsessionid=EBE8199E0999F85BFB21092A32580500 HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:11 +0530] "GET /ORS_0/resources/img/logo.jpg;jsessionid=EBE8199E0999F85BFB21092A32580500 HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:12 +0530] "GET /ORS_0/resources/img/background.jpg HTTP/1.1" 200 283116
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:14 +0530] "GET /ORS_0/resources/img/icon.jpg HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:22 +0530] "GET /ORS_0/ HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:22 +0530] "GET /ORS_0/resources/img/logo.jpg HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:22 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:31 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:31 +0530] "GET /ORS_0/resources/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:35 +0530] "GET /ORS_0/Welcome?lang=hi HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:38 +0530] "GET /ORS_0/Welcome?lang=en HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:53:58 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:54:01 +0530] "GET /ORS_0/Registration HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:54:06 +0530] "GET /ORS_0/Registration HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:54:09 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:55:23 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:55:24 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:55:32 +0530] "GET /ORS_0/Login HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:55:48 +0530] "POST /ORS_0/Login HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:56:00 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:59:13 +0530] "POST /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21713
0:0:0:0:0:0:0:1 - - [06/Apr/2021:15:59:58 +0530] "POST /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21715
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:00:19 +0530] "POST /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21713
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:00:24 +0530] "GET /ORS_0/ctl/Student/AddStudent HTTP/1.1" 200 19971
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:00:33 +0530] "GET /ORS_0/ctl/College/AddCollege HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:00:35 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:00:42 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 21980
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:01:39 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:02:19 +0530] "POST /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21733
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:02:27 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 21980
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:03:10 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 20874
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:03:10 +0530] "GET /ORS_0/resources/img/icon.jpg HTTP/1.1" 200 13234
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:03:14 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:04:35 +0530] "POST /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21719
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:04:39 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 22011
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:04:49 +0530] "GET /ORS_0/ctl/Role/RoleListCtl HTTP/1.1" 200 17416
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:00 +0530] "GET /ORS_0/ctl/Role/AddRole?id=1 HTTP/1.1" 200 15549
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:08 +0530] "GET /ORS_0/ctl/Marksheet/MarksheetListCtl HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:12 +0530] "POST /ORS_0/ctl/Marksheet/MarksheetListCtl HTTP/1.1" 200 14624
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:17 +0530] "GET /ORS_0/ctl/Subject/SubjectListCtl HTTP/1.1" 200 14233
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:21 +0530] "GET /ORS_0/ctl/TimeTable/TimeTableListCtl HTTP/1.1" 200 14892
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:26 +0530] "GET /ORS_0/ctl/TimeTable/AddTimeTable HTTP/1.1" 200 18615
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:31 +0530] "GET /ORS_0/ctl/TimeTable/AddTimeTable HTTP/1.1" 200 18615
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:32 +0530] "GET /ORS_0/ctl/TimeTable/AddTimeTable HTTP/1.1" 200 18615
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:34 +0530] "GET /ORS_0/ctl/Course/AddCourse HTTP/1.1" 200 16411
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:36 +0530] "GET /ORS_0/ctl/Faculty/AddFaculty HTTP/1.1" 200 20473
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:39 +0530] "GET /ORS_0/ctl/Role/RoleListCtl HTTP/1.1" 200 17416
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:05:47 +0530] "POST /ORS_0/ctl/Role/RoleListCtl HTTP/1.1" 200 17416
